id,type_of_property,subtype_of_property,locality,price,type_of_sale,rooms,condition,equipped_kitchen,furnished,terrace,garden,open_fire,hasSwimmingPool,living_area_m2,surface_of_land_m2,number_frontage
9316721,house,bungalow,4450,450000,private,4,,installed,,,,,False,,1450,4
9261001,house,house,4990,106000,private,4,to renovate,not installed,1,16,,,False,198,173,3
9315443,house,country cottage,4350,185000,private,2,good,semi equipped,,,,,False,170,574,3
9305856,house,house,4800,139000,private,5,to renovate,not installed,0,25,,,False,250,148,3
9314703,house,house,4540,301359,private,4,,,,,,,False,,1645,4
9314111,house,house,4300,205000,private,3,,not installed,0,,,,False,,393,3
9313626,house,house,4820,70000,private,3,to renovate,,,,,,False,107,85,2
9313074,house,house,4610,170000,private,2,to be done up,,,8,50,,False,137,187,2
9239448,house,house,4030,179000,private,2,to be done up,,,,,,False,,552,3
9312099,house,town house,4020,240000,private,3,good,semi equipped,0,,,,False,147,656,3
9311714,house,house,4621,325000,private,5,just renovated,,0,,,,False,300,315,3
9311164,house,mixed use building,4000,625000,private,9,good,not installed,0,,,,False,404,175,3
9310711,house,house,4671,405000,private,4,,installed,0,60,400,1,False,200,800,4
9310088,house,house,4530,245000,private,3,as new,installed,,35,,,False,174,541,3
9309545,house,house,4000,85000,private,3,,,,,,,False,,43,2
9309253,house,house,4682,325000,private,5,as new,usa hyper equipped,,30,,,False,177,304,3
9308677,house,mixed use building,4800,60000,public,2,to be done up,,,,,,False,,132,2
9308310,house,house,4684,249000,private,3,,installed,0,21,,,False,129,495,3
9307755,house,house,4540,221000,private,3,,,0,,917,,False,123,917,4
9307203,house,house,4450,300000,private,3,,installed,0,,280,,False,168,398,3
9306854,house,house,4130,110000,private,2,,,,,145,,False,90,198,3
9306317,house,house,4520,235000,private,4,to be done up,semi equipped,,,250,,False,250,394,3
9306048,house,house,4840,285000,private,3,as new,installed,,12,,,False,110,313,2
9238762,house,house,4470,200000,private,3,good,semi equipped,0,12,,,False,145,553,3
9305308,house,house,4000,265000,private,3,good,installed,0,30,,,False,132,107,2
9305015,house,house,4000,324850,private,3,as new,usa hyper equipped,0,28,,,False,92,445,3
9305004,house,house,4400,377830,private,4,,usa semi equipped,0,27,400,,False,134,544,3
9304994,house,town house,4840,313600,private,3,as new,usa hyper equipped,0,24,,,False,154,325,2
9304973,house,house,4680,399000,private,5,to be done up,not installed,0,25,,,False,258,662,4
9304581,house,house,4000,159000,private,2,to renovate,semi equipped,,33,50,,False,90,0,3
9303990,house,apartment block,4040,550000,private,15,to be done up,,0,50,340,,False,825,890,4
9303170,house,villa,4280,399000,private,4,as new,hyper equipped,0,,,,False,213,926,4
9302486,house,exceptional property,4800,850000,private,10,to renovate,semi equipped,0,105,1400,,False,600,1733,4
9301864,house,house,4650,260000,private,2,to be done up,installed,,,,,False,94,694,4
9193394,house,house,4610,205000,private,3,good,installed,,,,,False,211,165,2
9301057,house,house,4101,249000,private,3,as new,installed,0,25,85,,False,105,227,3
9119412,house,house,4032,169900,private,4,to be done up,not installed,,,170,,False,180,170,2
9300526,house,bungalow,4520,189000,private,3,good,,0,,,,False,,575,4
9299987,house,bungalow,4100,280000,private,2,good,semi equipped,,,300,1,False,125,625,4
9299534,house,house,4500,275000,public,3,,installed,,,,,False,,546,4
9299211,house,house,4540,159500,private,5,to renovate,not installed,,,,,False,220,359,4
9197125,house,house,4000,189000,private,2,good,installed,,,28,,False,100,65,2
9298224,house,house,4400,295000,private,4,good,installed,0,15,620,1,False,284,900,4
9297733,house,house,4530,260000,private,3,,installed,,,,,False,170,500,4
9297215,house,house,4170,190000,private,2,to be done up,installed,,27,135,,False,162,336,3
9296906,house,villa,4431,310000,private,4,to be done up,installed,0,,,,False,183,430,4
9296787,house,house,4920,210000,private,2,good,installed,,,,,False,108,135,3
9296411,house,mixed use building,4570,389000,private,5,good,installed,0,21,700,,False,220,1000,4
9296102,house,house,4121,298000,private,3,good,,,16,60,1,False,145,150,3
9295477,house,house,4030,89900,private,2,to renovate,installed,0,,,,False,,0,2
9295198,house,house,4000,245000,private,3,just renovated,installed,,50,257,,False,130,310,2
9294856,house,house,4470,210209,private,3,as new,,0,,150,,False,145,331,4
9294139,house,apartment block,4500,200000,private,5,to renovate,,,,,,False,,119,2
9293601,house,house,4020,278000,private,3,,installed,0,34,,,False,106,0,2
9293463,house,bungalow,4120,249000,private,2,to be done up,not installed,0,7,438,,False,119,526,4
9171552,house,house,4900,210000,private,4,to renovate,not installed,,,,,False,229,504,3
9293021,house,house,4100,239000,private,3,,,0,,,,False,99,0,3
9292443,house,house,4610,95000,private,3,to be done up,semi equipped,0,,,,False,65,30,2
9291928,house,house,4219,55000,private,2,,installed,0,30,800,,False,119,1000,4
9291847,house,villa,4420,449000,private,5,as new,hyper equipped,,60,,1,False,220,1000,4
9291291,house,apartment block,4000,265000,private,6,to be done up,,0,,,,False,,0,2
9289707,house,house,4460,287000,private,3,good,usa installed,,1,301,,False,188,359,2
9288886,house,house,4360,281894,private,3,as new,,,,,,False,122,251,3
9288597,house,mixed use building,4100,254000,private,3,to be done up,,0,11,,,False,195,286,2
9288260,house,house,4460,190000,private,2,good,installed,,,,,False,130,1201,4
9215531,house,house,4170,150000,private,4,to renovate,,,,,,False,,370,3
9286944,house,house,4540,100000,private,1,good,semi equipped,,,300,,False,64,345,2
9282249,house,house,4040,200000,private,2,as new,hyper equipped,,,50,,False,95,150,2
9286003,house,house,4031,235000,private,3,as new,,0,,,,False,130,121,2
9285483,house,house,4000,169500,private,3,good,installed,0,10,30,,False,100,90,2
9226274,house,villa,4140,295000,private,3,as new,installed,0,31,530,,False,123,807,4
9283678,house,house,4820,270000,private,5,good,,,,427,,False,160,687,3
9282635,house,house,4340,179000,private,2,good,installed,0,,177,,False,100,260,2
9281833,house,house,4040,148000,private,3,to renovate,,0,,13,,False,180,145,3
9281080,house,house,4671,329000,private,3,,installed,0,35,,,False,171,1082,4
9280701,house,house,4032,147000,private,3,good,,0,40,,,False,100,105,2
9279977,house,house,4300,295000,private,6,,semi equipped,0,40,,,False,,914,3
9279472,house,house,4500,360000,private,4,good,installed,,,,,False,220,1405,4
9278990,house,villa,4432,397000,private,5,,,,40,1150,1,False,370,1550,4
9278566,house,house,4420,149000,private,3,to be done up,semi equipped,0,,15,,False,110,179,2
9277560,house,house,4020,269000,private,3,just renovated,installed,,55,,,False,135,160,4
8129119,house,mixed use building,4851,310000,private,5,,,,,,,False,,2811,2
9276542,house,house,4500,115000,private,3,to renovate,semi equipped,0,,,,False,,0,3
9276111,house,house,4480,259000,private,4,good,semi equipped,0,25,250,1,False,161,479,3
9125743,house,house,4030,250000,private,3,good,,,,,,False,109,643,2
9200181,house,house,4400,279000,private,5,good,semi equipped,,,,,False,150,571,3
9274258,house,house,4100,87000,private,2,good,not installed,,,,,False,80,80,3
9273439,house,house,4287,199900,private,3,good,installed,,22,,,True,125,331,2
9272880,house,house,4900,155000,private,4,to be done up,semi equipped,,,,,False,170,93,2
9272210,house,house,4020,95000,private,2,to be done up,installed,0,,,,False,67,0,2
9271721,house,house,4690,379000,private,3,good,semi equipped,0,28,882,,False,229,1000,4
9271313,house,house,4000,277500,private,3,as new,hyper equipped,,,,,False,136,245,2
9270786,house,house,4000,189000,private,7,,semi equipped,0,6,,,False,264,100,2
9270323,house,villa,4900,540000,private,3,as new,hyper equipped,0,,,1,False,190,2330,4
9269847,house,house,4280,180000,private,3,to renovate,installed,0,72,877,,False,148,1007,3
9269173,house,house,4801,140000,private,4,good,,,,,,False,,180,2
9268837,house,house,4020,257500,private,3,as new,installed,,21,,,False,165,498,3
9267822,house,house,4102,60000,private,2,,,,,,,False,,180,2
9266847,house,apartment block,4900,210000,private,4,,,0,32,,,False,208,270,3
9169031,house,house,4460,249500,private,3,good,usa installed,0,40,310,,False,239,499,2
9265085,house,house,4684,390000,private,5,good,installed,0,34,,,False,156,326,3
9264149,house,villa,4141,529000,private,5,as new,installed,,70,1500,1,False,330,2200,4
9263303,house,house,4040,230000,private,4,good,semi equipped,,,99,,False,193,276,2
9262347,house,house,4170,125000,private,2,to be done up,not installed,0,,80,,False,,150,2
9260954,house,house,4537,295000,private,6,,,0,,,,False,,756,3
9260670,house,house,4600,395000,private,5,as new,installed,0,,,1,False,195,561,2
9259686,house,apartment block,4030,570000,private,9,to be done up,semi equipped,0,79,200,,False,375,420,2
9259277,house,apartment block,4000,189000,private,3,to be done up,semi equipped,0,,143,,False,140,192,3
9258364,house,house,4537,419000,private,5,,,0,,,,False,,2015,4
9257072,house,mansion,4300,300000,private,3,good,installed,0,,270,,False,165,440,4
9256386,house,house,4032,90000,public,3,to be done up,,,16,56,,False,162,138,2
9255787,house,house,4000,289000,private,2,good,installed,0,30,,,False,160,327,2
9255332,house,house,4770,220000,private,6,,semi equipped,,,,,False,386,1250,4
9254739,house,house,4870,214000,private,3,to renovate,not installed,0,25,40,,False,180,215,3
9129586,house,house,4800,140000,private,6,to be done up,,,15,,,False,180,115,2
9253748,house,house,4130,125000,private,4,to renovate,installed,0,,,,False,155,0,3
9253217,house,house,4400,185000,private,3,good,semi equipped,,,,,False,115,0,3
9252700,house,house,4500,525000,private,6,as new,hyper equipped,0,20,517,,False,417,940,3
9251844,house,house,4460,150000,private,3,to renovate,,,13,305,,False,183,393,2
8966267,house,house,4100,149000,private,4,to be done up,semi equipped,0,,,,False,,147,2
9251144,house,town house,4030,147000,private,2,good,installed,,,,,False,125,179,2
9250407,house,villa,4350,349500,private,3,as new,hyper equipped,,45,3400,,False,190,3728,3
9249904,house,house,4020,159500,private,3,good,installed,0,,,,False,130,50,2
9249427,house,apartment block,4020,159000,private,9,to restore,,,,,,False,350,107,2
9248855,house,house,4520,259000,private,2,good,hyper equipped,0,,,,False,187,780,3
9247324,house,house,4801,175000,private,4,to renovate,not installed,,,1100,2,False,207,1632,3
9246863,house,mixed use building,4920,215000,private,5,to renovate,semi equipped,0,117,,,False,208,209,3
9119958,house,house,4430,190000,private,5,good,,,,,,False,,85,2
9244232,house,house,4920,255000,private,3,as new,hyper equipped,0,,,,False,102,356,3
9242655,house,house,4347,229000,private,2,good,installed,,15,,,False,149,526,2
9241702,house,house,4570,359000,private,3,,hyper equipped,,,,,False,170,1880,4
9241420,house,house,4500,205000,private,3,,not installed,,15,50,,False,126,0,2
