id,type_of_property,subtype_of_property,locality,price,type_of_sale,rooms,condition,equipped_kitchen,furnished,terrace,garden,open_fire,hasSwimmingPool,living_area_m2,surface_of_land_m2,number_frontage
9316707,house,house,4260,135000,private,3,to renovate,installed,,,,,False,146,555,3
9219993,house,house,4430,111000,private,2,to be done up,,0,,,,False,105,63,2
9315736,house,house,4130,349000,private,6,good,usa hyper equipped,,35,,,False,190,1545,4
8598142,house,house,4470,30000,private,2,good,semi equipped,,,171,,False,85,265,3
9315072,house,house,4260,350000,private,3,to be done up,installed,,,,,False,205,3613,4
9314573,house,exceptional property,4130,144000,private,1,to renovate,,,,,,False,,831,4
9314086,house,house,4050,280000,private,4,to be done up,semi equipped,,20,,,False,115,505,3
9182889,house,apartment block,4800,465000,private,14,good,,,,,,False,542,348,3
9181777,house,house,4317,375000,private,5,as new,installed,0,,500,,False,217,878,4
9312579,house,house,4910,199999,private,4,as new,installed,,,,,False,165,200,3
9312086,house,castle,4850,1275000,private,11,to renovate,installed,0,,,,True,850,15000,4
9311159,house,house,4960,450000,private,4,good,usa installed,0,28,,,False,299,0,4
9310707,house,house,4000,375000,private,3,as new,hyper equipped,,35,,,False,200,100,2
9310073,house,villa,4800,520000,private,4,as new,hyper equipped,0,30,1500,1,False,285,2150,4
9309543,house,house,4140,279000,private,3,good,,,,,,False,,1394,4
9309178,house,country cottage,4400,749000,private,4,good,hyper equipped,0,,600,,False,774,2300,4
9308660,house,mansion,4820,275000,private,4,good,semi equipped,0,20,330,,False,182,402,2
9308308,house,house,4608,229000,private,5,,installed,0,25,,,False,191,351,4
8794350,house,house,4400,110000,private,2,good,semi equipped,,,,,False,66,0,2
9307184,house,farmhouse,4920,1950000,private,3,to be done up,hyper equipped,0,,,,False,,9000,4
9306838,house,house,4367,370000,private,5,to be done up,,0,,1750,,False,221,1926,4
9306181,house,house,4420,190000,private,2,as new,installed,0,,,,False,112,42,4
9306027,house,villa,4960,485000,private,4,,hyper equipped,0,40,,1,False,254,2069,4
9305765,house,apartment block,4020,279000,private,4,,semi equipped,0,,,,False,200,65,2
9233236,house,villa,4900,325000,private,1,to be done up,installed,,,,,False,102,2164,4
9305014,house,house,4000,363005,private,4,as new,usa hyper equipped,0,24,850,,False,147,1035,3
9305003,house,house,4700,359167,private,4,as new,usa hyper equipped,0,24,340,,False,142,470,3
9304993,house,house,4000,459000,private,4,,usa hyper equipped,0,29,,,False,224,815,3
9304965,house,house,4420,239000,private,3,good,installed,,2,156,,False,104,202,2
9304501,house,town house,4800,285000,private,3,good,installed,0,13,86,1,False,188,170,3
9232000,house,house,4101,140000,private,2,good,usa installed,0,10,88,,False,104,141,3
9303584,house,villa,4840,249900,private,3,as new,,,,,,False,,200,2
9303137,house,house,4040,129000,private,2,to renovate,not installed,,,,,False,149,179,3
9302450,house,house,4560,325000,private,5,just renovated,installed,0,,900,,False,200,900,4
9301842,house,house,4420,150000,public,3,as new,installed,,,,,True,156,310,2
9240615,house,villa,4040,445000,private,3,as new,installed,0,3,1072,,False,120,1197,4
9300982,house,house,4500,110000,private,4,,installed,,,,,False,116,127,2
9300777,house,house,4960,187000,private,2,good,installed,0,,,,False,114,89,2
9300522,house,house,4540,150000,private,2,to renovate,,,,,,False,155,231,3
9299756,house,apartment block,4800,169000,private,3,,installed,0,12,,,False,150,0,3
9299527,house,house,4720,283000,private,3,good,,,,,,False,115,588,4
9299210,house,house,4520,185000,private,3,to be done up,semi equipped,,9,369,,False,170,428,3
9229497,house,house,4051,335000,private,3,as new,installed,0,91,,1,False,174,906,4
9298109,house,house,4000,109000,private,2,good,not installed,0,,35,,False,53,30,3
9297659,house,villa,4101,399000,private,4,good,hyper equipped,,40,,,False,260,3820,4
9297202,house,house,4950,230000,private,3,good,usa installed,0,1,128,,True,152,183,2
9296905,house,villa,4632,625000,private,4,good,hyper equipped,0,20,1500,,True,345,1500,4
9296780,house,bungalow,4400,249000,private,2,to be done up,,,,,,False,114,824,4
9296410,house,house,4570,389000,private,5,good,installed,0,21,700,,False,220,1000,4
9296101,house,exceptional property,4000,1250000,private,10,to renovate,not installed,0,,4250,,False,650,5200,4
8913734,house,apartment block,4821,190000,private,4,to be done up,,,,,,False,150,132,2
9295194,house,house,4122,375000,private,4,as new,usa hyper equipped,,34,800,,False,215,929,4
9294855,house,villa,4470,165239,private,2,as new,,0,,150,,False,107,331,4
9294059,house,house,4031,165000,private,2,,,0,,,,False,120,110,2
9293600,house,house,4020,273000,private,3,,installed,0,34,,,False,103,0,2
9293459,house,house,4130,225000,private,3,as new,installed,0,17,83,,False,188,233,2
9238694,house,house,4400,199000,private,3,,installed,,47,72,,False,100,187,3
8954622,house,mixed use building,4870,249000,private,6,good,installed,0,25,80,,False,245,0,3
9292314,house,house,4400,140000,private,4,,,,,200,,False,160,280,4
9120269,house,house,4130,340000,private,3,,installed,0,16,300,,False,319,572,4
9291716,house,villa,4053,400000,private,3,good,installed,0,,,,True,,902,4
9291274,house,house,4608,315000,private,2,as new,installed,0,,,,False,105,972,4
9290894,house,house,4357,360000,private,2,good,installed,0,,1870,,False,140,2000,4
9289961,house,house,4032,175000,private,4,,semi equipped,0,20,80,,False,148,154,2
9289675,house,house,4000,235000,private,3,,installed,0,6,,,False,125,156,2
9288872,house,house,4761,255000,private,5,,,0,,,,False,160,625,3
9288544,house,bungalow,4601,349000,private,4,good,installed,0,45,,,False,140,871,4
9287983,house,town house,4020,225000,private,2,good,installed,,75,396,,False,120,545,4
9268051,house,house,4040,330000,private,6,to be done up,installed,,9,270,,False,435,675,3
