id,type_of_property,subtype_of_property,locality,price,type_of_sale,rooms,condition,equipped_kitchen,furnished,terrace,garden,open_fire,hasSwimmingPool,living_area_m2,surface_of_land_m2,number_frontage
9316668,house,villa,4987,335000,private,3,good,,0,,,1,False,172,2300,4
9316375,house,house,4780,248000,private,3,just renovated,,0,22,20,,False,127,178,3
9315657,house,house,4480,25000,private,1,to restore,not installed,0,,8,,False,60,68,3
9315327,house,house,4610,90000,public,2,to renovate,installed,,,62,,False,134,198,3
9315067,house,house,4690,169000,private,2,,installed,0,27,,,False,129,444,3
9314043,house,villa,4630,325000,private,3,as new,installed,,,,,False,,686,4
9313600,house,apartment block,4020,199000,private,5,good,semi equipped,0,110,,,False,175,220,2
9258710,house,house,4800,149000,private,4,to renovate,not installed,,,,,False,142,100,3
9312396,house,house,4031,99000,private,1,to be done up,,,,,,False,93,61,2
9311988,house,bungalow,4970,330000,private,3,as new,,0,,900,,False,145,1016,4
9311607,house,house,4040,99900,private,2,to be done up,not installed,0,7,,,False,70,76,3
9310992,house,house,4681,299000,private,3,,installed,,,670,1,False,242,670,2
9247889,house,villa,4470,2500,private,5,,,0,50,1500,1,True,288,1500,4
9280180,house,house,4520,230000,private,3,just renovated,installed,,,,,False,150,160,3
9309404,house,house,4800,215000,private,4,good,,,,,,False,209,230,3
9309165,house,villa,4860,320000,private,3,,not installed,0,,430,,False,257,539,4
9308499,house,house,4480,150000,private,3,to renovate,not installed,0,,,,False,130,480,4
9308243,house,bungalow,4432,175000,private,2,,,,165,1300,,False,122,2025,4
9307548,house,town house,4130,225000,private,1,good,installed,,18,22,,False,100,0,3
9065966,house,house,4100,100000,private,3,to be done up,not installed,0,,,,False,110,514,2
9306820,house,apartment block,4800,335000,private,8,good,,0,,28,,False,300,230,2
9306156,house,house,4430,150000,private,3,good,installed,,,,,False,110,2,2
9305981,house,house,4400,145000,private,3,,,,,,,False,101,155,2
9305652,house,house,4500,109000,private,3,to renovate,not installed,0,,65,,False,115,140,2
9305175,house,house,4102,180000,private,5,good,installed,,15,,,False,198,104,2
9305012,house,house,4800,338081,private,3,as new,usa hyper equipped,0,32,200,,False,131,300,3
9305001,house,house,4800,401226,private,5,,usa hyper equipped,0,26,,,False,211,365,3
9304991,house,house,4630,322675,private,3,as new,usa hyper equipped,0,24,,,False,143,344,2
9304154,house,house,4890,379000,private,3,good,installed,0,14,1250,,False,171,1411,4
9303873,house,mansion,4900,520000,private,8,,,,,,,False,420,290,2
9303571,house,town house,4130,269000,private,2,to be done up,not installed,0,10,,,False,147,371,4
9263893,house,apartment block,4800,615000,private,4,to be done up,semi equipped,0,,,,False,450,255,3
9302095,house,house,4020,225000,private,6,to be done up,not installed,0,,,,False,260,0,2
9301802,house,country cottage,4910,300000,private,4,good,installed,,,,,False,260,620,4
9301351,house,house,4910,398000,private,4,as new,,0,65,1261,,False,166,1449,4
9300775,house,house,4042,350960,private,4,as new,usa hyper equipped,0,24,160,,False,172,318,2
9300487,house,house,4470,335000,private,4,to be done up,hyper equipped,0,40,1300,,False,140,2013,4
9299465,house,house,4141,324000,private,3,to be done up,semi equipped,0,,,1,False,96,2155,4
9299201,house,house,4570,259000,private,2,good,,0,,896,,False,,896,4
9298938,house,house,4610,155000,private,2,to renovate,not installed,0,,980,,False,80,1060,3
9298054,house,house,4100,75000,private,2,good,,0,,,,False,70,23,3
9297580,house,house,4030,179900,private,2,good,semi equipped,0,20,55,,False,90,132,2
9297172,house,house,4102,137000,private,3,to renovate,installed,0,32,,,False,91,75,3
9296897,house,house,4140,285000,private,3,as new,usa installed,,9,10,,False,165,142,3
9296305,house,house,4000,160000,private,4,to renovate,not installed,0,,96,,False,165,183,3
9295986,house,house,4053,799000,private,6,as new,,,,,,False,,1250,4
9295552,house,house,4350,280000,private,3,as new,usa hyper equipped,,24,,,False,160,150,1
9295342,house,house,4802,359000,private,2,,,,,,,False,154,300,3
9295119,house,house,4031,199000,private,2,good,installed,,42,,,False,123,76,2
9294853,house,villa,4470,210209,private,3,as new,,0,,150,,False,145,331,4
9293901,house,villa,4910,315000,private,3,as new,,,,,,False,,1263,4
9293598,house,house,4020,273000,private,3,,installed,0,34,,,False,103,0,2
9293120,house,house,4280,248000,private,4,as new,usa installed,0,28,,,False,168,234,3
9292907,house,apartment block,4000,210000,private,4,good,semi equipped,0,30,,,False,112,113,2
9292324,house,house,4122,549000,private,6,good,installed,0,,,1,False,230,1495,4
9291589,house,house,4800,199000,private,6,good,semi equipped,0,,,,False,282,293,3
9138060,house,apartment block,4800,270000,private,6,to renovate,,,,196,,False,262,196,2
9016889,house,apartment block,4620,135000,private,2,good,installed,,,,,False,123,99,3
9289907,house,villa,4761,255000,private,4,to be done up,,,,,,False,,2724,4
9216702,house,house,4000,210000,private,4,,installed,0,17,,,False,188,80,3
9288858,house,villa,4347,499000,private,4,as new,,,,,,False,,1400,4
9287887,house,house,4680,429000,private,6,good,installed,0,,,1,False,270,1724,4
9287196,house,house,4357,320000,private,3,as new,hyper equipped,,,,,False,220,300,3
9286844,house,house,4540,275000,private,3,good,semi equipped,,,700,,False,165,828,3
9286372,house,house,4650,199000,private,3,to be done up,not installed,0,26,,,False,91,287,3
9285830,house,villa,4600,310000,private,3,good,semi equipped,,52,,,False,,1350,4
9285292,house,villa,4432,535000,private,5,just renovated,hyper equipped,,100,,,True,210,1053,4
9284817,house,house,4347,325000,private,3,as new,usa hyper equipped,,50,115,,False,160,410,4
9284321,house,house,4430,189000,private,3,,installed,,,,,False,79,163,3
9283195,house,house,4470,210000,private,3,,installed,0,20,557,,False,72,629,4
9282574,house,house,4610,235000,private,3,good,installed,0,11,150,,False,180,245,2
9281645,house,villa,4620,269000,private,3,to be done up,semi equipped,0,,300,,False,125,634,4
9280945,house,house,4520,165000,private,3,to renovate,,,,,,False,126,1058,4
9280628,house,house,4682,210000,private,4,to be done up,not installed,0,25,250,,False,108,326,3
9279866,house,apartment block,4800,169000,private,2,to renovate,,,40,75,,False,327,215,2
8960336,house,mixed use building,4101,149000,private,120,,not installed,,,,,False,,0,2
9278161,house,house,4830,132000,private,3,to be done up,,0,,,,False,128,99,2
9277178,house,house,4920,100000,public,3,,,,,,,False,,0,4
9276767,house,mansion,4000,400000,private,10,good,,,70,,,False,,225,2
9276516,house,house,4620,219000,private,4,good,installed,0,13,100,,False,130,352,4
9275917,house,house,4000,119500,private,2,to be done up,semi equipped,,12,,,False,111,90,2
9275066,house,house,4780,550000,private,3,good,,0,,,1,False,188,1880,4
9274531,house,house,4910,267000,private,3,,installed,0,30,,,False,120,612,3
9274088,house,house,4610,299000,private,4,to renovate,not installed,0,15,628,1,False,170,878,3
9273309,house,house,4102,167000,private,2,good,installed,0,95,380,,False,100,500,2
9272828,house,mixed use building,4870,215000,private,2,good,semi equipped,0,,65,,False,190,160,2
9270049,house,house,4801,195000,private,4,just renovated,semi equipped,0,,480,,False,146,650,2
9270566,house,house,4347,230000,private,3,as new,hyper equipped,,50,600,,False,110,0,2
9270047,house,villa,4432,394000,private,3,,installed,0,60,,,False,134,3200,4
9193272,house,house,4000,219000,private,5,,installed,,,,,False,180,98,2
9269042,house,villa,4367,310000,private,2,as new,installed,,,,,False,182,1310,4
8944933,house,house,4042,325000,private,6,good,installed,0,,400,,False,205,500,3
9268121,house,apartment block,4800,295000,private,10,good,,0,,,,False,257,110,2
9267378,house,house,4800,159000,private,5,to be done up,semi equipped,,18,200,,False,300,500,2
9266794,house,house,4000,199000,private,3,as new,installed,,,,,False,,90,2
9266442,house,house,4671,335000,private,4,good,installed,0,,450,,False,176,650,3
9266070,house,apartment block,4040,750000,private,6,,,0,,,,False,300,1180,3
9265506,house,house,4420,155000,private,4,good,semi equipped,,,140,,False,100,246,3
9264646,house,house,4400,249000,private,3,good,installed,,,,,False,140,0,2
9263905,house,house,4432,249000,private,3,just renovated,usa installed,,13,209,,False,125,394,4
9263004,house,house,4900,215000,private,4,just renovated,installed,,,1,,False,100,60,2
9168625,house,house,4970,175000,private,3,good,installed,1,,,,False,210,70,3
9261168,house,house,4420,115000,private,2,good,,0,9,,,False,55,47,2
9260849,house,apartment block,4900,170000,private,4,,,0,,,,False,200,67,2
9260568,house,chalet,4560,50000,public,1,,,,,,,False,,0,4
9259576,house,bungalow,4577,229000,private,2,good,usa semi equipped,0,15,400,,False,100,540,4
9258283,house,house,4130,270000,private,3,,,,,,,False,190,467,3
9257857,house,house,4920,50000,public,2,to restore,installed,,15,,,False,106,317,4
9256858,house,house,4347,259000,private,3,as new,,,,,,False,144,1350,4
9256108,house,house,4633,130000,public,4,good,installed,,,,,False,157,160,2
9255728,house,house,4257,272000,private,3,as new,not installed,0,,,,False,,433,2
9121299,house,house,4280,329000,private,3,just renovated,hyper equipped,,,,,False,230,917,4
9254679,house,house,4560,229000,private,4,to be done up,installed,0,,569,,False,203,569,2
9254137,house,house,4680,197000,private,3,,installed,0,,,,False,125,99,3
9253633,house,house,4500,197503,private,4,,,,,,,False,,539,3
9252903,house,house,4990,115000,private,2,to renovate,,0,,,,False,82,442,4
9252546,house,house,4032,165000,private,2,,installed,0,,25,,False,90,89,2
9251670,house,apartment block,4840,398000,private,6,good,,,,,,False,210,270,2
9241261,house,house,4340,225000,private,2,good,installed,0,,200,,False,76,0,2
9251089,house,house,4460,194900,private,3,good,semi equipped,,35,100,,False,105,342,3
9250314,house,house,4102,144500,private,4,good,installed,1,15,90,,False,155,225,2
9249646,house,mixed use building,4340,450000,private,3,good,semi equipped,,,,,False,190,474,3
9249299,house,house,4030,115000,private,3,to renovate,installed,,,,,False,131,120,3
9248790,house,house,4430,199000,private,4,good,semi equipped,0,,80,,False,160,175,3
9247890,house,house,4040,115000,private,4,to be done up,not installed,0,23,,,False,84,82,2
9247191,house,house,4432,255000,private,3,as new,,,,,,False,144,205,2
9246750,house,mixed use building,4102,170000,private,5,good,,0,,,,False,372,250,3
